Series ID,Year,Period,Label,Value
CUUR0000SA0,2016,M05,2016 May,240.229
CUUR0000SA0,2016,M06,2016 Jun,241.018
CUUR0000SA0,2016,M07,2016 Jul,240.628
CUUR0000SA0,2016,M08,2016 Aug,240.849
CUUR0000SA0,2016,M09,2016 Sep,241.428
CUUR0000SA0,2016,M10,2016 Oct,241.729
CUUR0000SA0,2016,M11,2016 Nov,241.353
CUUR0000SA0,2016,M12,2016 Dec,241.432
CUUR0000SA0,2017,M01,2017 Jan,242.839
CUUR0000SA0,2017,M02,2017 Feb,243.603
CUUR0000SA0,2017,M03,2017 Mar,243.801
CUUR0000SA0,2017,M04,2017 Apr,244.524
CUUR0000SA0,2017,M05,2017 May,244.733
CUUR0000SA0,2017,M06,2017 Jun,244.955
CUUR0000SA0,2017,M07,2017 Jul,244.786
CUUR0000SA0,2017,M08,2017 Aug,245.519
CUUR0000SA0,2017,M09,2017 Sep,246.819
CUUR0000SA0,2017,M10,2017 Oct,246.663
CUUR0000SA0,2017,M11,2017 Nov,246.669
CUUR0000SA0,2017,M12,2017 Dec,246.524
