Series ID,Year,Period,Label,Value
LNU04000036,2009,M06,2009 Jun,16.0
LNU04000036,2009,M07,2009 Jul,15.4
LNU04000036,2009,M08,2009 Aug,15.2
LNU04000036,2009,M09,2009 Sep,15.1
LNU04000036,2009,M10,2009 Oct,15.3
LNU04000036,2009,M11,2009 Nov,14.8
LNU04000036,2009,M12,2009 Dec,14.7
LNU04000036,2010,M01,2010 Jan,17.1
LNU04000036,2010,M02,2010 Feb,16.6
LNU04000036,2010,M03,2010 Mar,15.8
LNU04000036,2010,M04,2010 Apr,16.4
LNU04000036,2010,M05,2010 May,15.2
LNU04000036,2010,M06,2010 Jun,16.1
LNU04000036,2010,M07,2010 Jul,15.7
LNU04000036,2010,M08,2010 Aug,14.7
LNU04000036,2010,M09,2010 Sep,14.6
LNU04000036,2010,M10,2010 Oct,14.8
LNU04000036,2010,M11,2010 Nov,14.8
LNU04000036,2010,M12,2010 Dec,14.2
LNU04000036,2011,M01,2011 Jan,16.3
LNU04000036,2011,M02,2011 Feb,16.1
LNU04000036,2011,M03,2011 Mar,15.0
LNU04000036,2011,M04,2011 Apr,14.2
LNU04000036,2011,M05,2011 May,15.2
LNU04000036,2011,M06,2011 Jun,15.2
LNU04000036,2011,M07,2011 Jul,14.7
LNU04000036,2011,M08,2011 Aug,14.5
LNU04000036,2011,M09,2011 Sep,14.3
LNU04000036,2011,M10,2011 Oct,13.4
LNU04000036,2011,M11,2011 Nov,13.2
LNU04000036,2011,M12,2011 Dec,13.4
LNU04000036,2012,M01,2012 Jan,14.2
LNU04000036,2012,M02,2012 Feb,14.6
LNU04000036,2012,M03,2012 Mar,13.1
LNU04000036,2012,M04,2012 Apr,12.6
LNU04000036,2012,M05,2012 May,13.3
LNU04000036,2012,M06,2012 Jun,14.4
LNU04000036,2012,M07,2012 Jul,13.7
LNU04000036,2012,M08,2012 Aug,13.9
LNU04000036,2012,M09,2012 Sep,12.1
LNU04000036,2012,M10,2012 Oct,12.7
LNU04000036,2012,M11,2012 Nov,11.8
LNU04000036,2012,M12,2012 Dec,12.8
LNU04000036,2013,M01,2013 Jan,15.3
LNU04000036,2013,M02,2013 Feb,13.7
LNU04000036,2013,M03,2013 Mar,13.3
LNU04000036,2013,M04,2013 Apr,12.5
LNU04000036,2013,M05,2013 May,13.5
LNU04000036,2013,M06,2013 Jun,14.3
LNU04000036,2013,M07,2013 Jul,12.7
LNU04000036,2013,M08,2013 Aug,13.0
LNU04000036,2013,M09,2013 Sep,12.5
